4.336,01/03/2014
1.379,01/04/2014
0.447,01/05/2014
0.084,01/06/2014
1.248,01/07/2014
1.476,01/08/2014
1.064,01/09/2014
0.672,01/10/2014
0.592,01/11/2014
1.313,01/12/2014
2.896,01/01/2015
1.568,01/02/2015
1.706,01/03/2015
0.035,01/04/2015
1.624,01/05/2015
1.107,01/06/2015
2.766,01/07/2015
3.019,01/08/2015
2.871,01/09/2015
-0.023,01/10/2015
2.287,01/11/2015
2.728,01/12/2015
0.546,01/01/2016
6.388,01/02/2016
2.814,01/03/2016
3.148,01/04/2016
0.174,01/05/2016
2.283,01/06/2016
1.941,01/07/2016
1.504,01/08/2016
2.086,01/09/2016
-1.124,01/10/2016
-0.429,01/11/2016
-1.361,01/12/2016
-2.68,01/01/2017
2.201,01/02/2017
4.436,01/03/2017
0.01,01/04/2017
0.828,01/05/2017
2.211,01/06/2017
1.553,01/07/2017
3.041,01/08/2017
1.498,01/09/2017
0.821,01/10/2017
0.881,01/11/2017
2.674,01/12/2017
3.59,01/01/2018
0.826,01/02/2018
-0.213,01/03/2018
5.036,01/04/2018
3.49,01/05/2018
2.061,01/06/2018
1.429,01/07/2018
3.264,01/08/2018
1.799,01/09/2018
2.816,01/10/2018
0.599,01/11/2018
-0.1,01/12/2018
1.186,01/01/2019
3.258,01/02/2019
3.932,01/03/2019
1.254,01/04/2019
0.421,01/05/2019
3.712,01/06/2019
1.167,01/07/2019
2.972,01/08/2019
1.903,01/09/2019
2.708,01/10/2019
4.379,01/11/2019
3.057,01/12/2019
