,Area,Months,Element,Year,Temperature,Date,DateInt
336,Romania,1,Temperature change,1975,3.272,1975-01-01,197501.0
338,Romania,2,Temperature change,1975,-0.3,1975-02-01,197502.0
340,Romania,3,Temperature change,1975,3.458,1975-03-01,197503.0
342,Romania,4,Temperature change,1975,0.735,1975-04-01,197504.0
344,Romania,5,Temperature change,1975,1.572,1975-05-01,197505.0
346,Romania,6,Temperature change,1975,0.506,1975-06-01,197506.0
348,Romania,7,Temperature change,1975,0.158,1975-07-01,197507.0
350,Romania,8,Temperature change,1975,-0.441,1975-08-01,197508.0
352,Romania,9,Temperature change,1975,1.979,1975-09-01,197509.0
354,Romania,10,Temperature change,1975,-0.259,1975-10-01,197510.0
356,Romania,11,Temperature change,1975,-2.425,1975-11-01,197511.0
358,Romania,12,Temperature change,1975,-0.324,1975-12-01,197512.0
360,Romania,1,Temperature change,1976,1.073,1976-01-01,197601.0
362,Romania,2,Temperature change,1976,-3.048,1976-02-01,197602.0
364,Romania,3,Temperature change,1976,-1.884,1976-03-01,197603.0
366,Romania,4,Temperature change,1976,0.701,1976-04-01,197604.0
368,Romania,5,Temperature change,1976,-0.686,1976-05-01,197605.0
370,Romania,6,Temperature change,1976,-1.7,1976-06-01,197606.0
372,Romania,7,Temperature change,1976,-0.433,1976-07-01,197607.0
374,Romania,8,Temperature change,1976,-3.161,1976-08-01,197608.0
376,Romania,9,Temperature change,1976,-1.082,1976-09-01,197609.0
378,Romania,10,Temperature change,1976,-0.222,1976-10-01,197610.0
380,Romania,11,Temperature change,1976,0.888,1976-11-01,197611.0
382,Romania,12,Temperature change,1976,-0.022,1976-12-01,197612.0
384,Romania,1,Temperature change,1977,1.323,1977-01-01,197701.0
386,Romania,2,Temperature change,1977,4.82,1977-02-01,197702.0
388,Romania,3,Temperature change,1977,2.835,1977-03-01,197703.0
390,Romania,4,Temperature change,1977,-0.708,1977-04-01,197704.0
392,Romania,5,Temperature change,1977,0.263,1977-05-01,197705.0
394,Romania,6,Temperature change,1977,-0.539,1977-06-01,197706.0
396,Romania,7,Temperature change,1977,-0.328,1977-07-01,197707.0
398,Romania,8,Temperature change,1977,-0.627,1977-08-01,197708.0
400,Romania,9,Temperature change,1977,-1.918,1977-09-01,197709.0
402,Romania,10,Temperature change,1977,-0.198,1977-10-01,197710.0
404,Romania,11,Temperature change,1977,1.361,1977-11-01,197711.0
406,Romania,12,Temperature change,1977,-2.835,1977-12-01,197712.0
408,Romania,1,Temperature change,1978,0.546,1978-01-01,197801.0
410,Romania,2,Temperature change,1978,-0.124,1978-02-01,197802.0
412,Romania,3,Temperature change,1978,1.715,1978-03-01,197803.0
414,Romania,4,Temperature change,1978,-0.513,1978-04-01,197804.0
416,Romania,5,Temperature change,1978,-1.537,1978-05-01,197805.0
418,Romania,6,Temperature change,1978,-0.835,1978-06-01,197806.0
420,Romania,7,Temperature change,1978,-1.438,1978-07-01,197807.0
422,Romania,8,Temperature change,1978,-1.604,1978-08-01,197808.0
424,Romania,9,Temperature change,1978,-1.627,1978-09-01,197809.0
426,Romania,10,Temperature change,1978,-0.074,1978-10-01,197810.0
428,Romania,11,Temperature change,1978,-1.765,1978-11-01,197811.0
430,Romania,12,Temperature change,1978,-0.011,1978-12-01,197812.0
432,Romania,1,Temperature change,1979,0.013,1979-01-01,197901.0
434,Romania,2,Temperature change,1979,0.406,1979-02-01,197902.0
436,Romania,3,Temperature change,1979,2.632,1979-03-01,197903.0
438,Romania,4,Temperature change,1979,-0.984,1979-04-01,197904.0
440,Romania,5,Temperature change,1979,1.206,1979-05-01,197905.0
442,Romania,6,Temperature change,1979,1.942,1979-06-01,197906.0
444,Romania,7,Temperature change,1979,-1.909,1979-07-01,197907.0
446,Romania,8,Temperature change,1979,-0.934,1979-08-01,197908.0
448,Romania,9,Temperature change,1979,0.729,1979-09-01,197909.0
450,Romania,10,Temperature change,1979,-1.716,1979-10-01,197910.0
452,Romania,11,Temperature change,1979,0.346,1979-11-01,197911.0
454,Romania,12,Temperature change,1979,2.577,1979-12-01,197912.0
456,Romania,1,Temperature change,1980,-2.389,1980-01-01,198001.0
458,Romania,2,Temperature change,1980,-0.024,1980-02-01,198002.0
460,Romania,3,Temperature change,1980,-0.908,1980-03-01,198003.0
462,Romania,4,Temperature change,1980,-1.605,1980-04-01,198004.0
464,Romania,5,Temperature change,1980,-1.925,1980-05-01,198005.0
466,Romania,6,Temperature change,1980,-0.819,1980-06-01,198006.0
468,Romania,7,Temperature change,1980,-0.761,1980-07-01,198007.0
470,Romania,8,Temperature change,1980,-1.082,1980-08-01,198008.0
472,Romania,9,Temperature change,1980,-1.142,1980-09-01,198009.0
474,Romania,10,Temperature change,1980,1.125,1980-10-01,198010.0
476,Romania,11,Temperature change,1980,-0.833,1980-11-01,198011.0
478,Romania,12,Temperature change,1980,-0.292,1980-12-01,198012.0
480,Romania,1,Temperature change,1981,-0.802,1981-01-01,198101.0
482,Romania,2,Temperature change,1981,0.092,1981-02-01,198102.0
484,Romania,3,Temperature change,1981,2.623,1981-03-01,198103.0
486,Romania,4,Temperature change,1981,-1.139,1981-04-01,198104.0
488,Romania,5,Temperature change,1981,-0.699,1981-05-01,198105.0
490,Romania,6,Temperature change,1981,1.401,1981-06-01,198106.0
492,Romania,7,Temperature change,1981,-0.683,1981-07-01,198107.0
494,Romania,8,Temperature change,1981,-0.58,1981-08-01,198108.0
496,Romania,9,Temperature change,1981,0.55,1981-09-01,198109.0
