t_chg,date,tavg,tmin,tmax
1.503,01/06/2002,21.8,13.7,29.3
2.856,01/07/2002,23.8,17.2,31.2
0.615,01/08/2002,20.8,14.9,28.3
-0.122,01/09/2002,15.8,9.9,23.6
0.176,01/10/2002,9.9,5.3,16.5
1.922,01/11/2002,6.6,2.4,12.2
-3.285,01/12/2002,-5.2,-8.9,-0.6
0.872,01/01/2003,-2.0,-4.5,1.3
-4.132,01/02/2003,-4.1,-7.6,0.9
-0.979,01/03/2003,2.2,-2.6,8.3
-1.049,01/04/2003,9.4,2.4,16.6
4.049,01/05/2003,19.5,10.8,28.2
2.503,01/06/2003,22.7,14.1,30.6
1.219,01/07/2003,22.7,14.8,30.8
2.62,01/08/2003,23.5,15.6,32.6
-0.269,01/09/2003,15.0,9.4,23.2
-1.341,01/10/2003,8.8,4.2,15.1
1.323,01/11/2003,6.4,2.6,11.3
0.151,01/12/2003,-0.8,-4.1,3.4
-0.729,01/01/2004,-3.3,-6.5,0.9
1.078,01/02/2004,0.3,-4.2,6.8
1.762,01/03/2004,5.9,1.1,12.2
1.046,01/04/2004,10.7,3.7,18.4
-0.73,01/05/2004,14.6,7.5,22.3
0.069,01/06/2004,19.5,13.2,26.4
0.695,01/07/2004,21.8,14.3,29.1
0.557,01/08/2004,20.1,13.9,28.5
-0.086,01/09/2004,15.8,9.7,24.5
1.868,01/10/2004,11.1,5.7,19.6
0.772,01/11/2004,5.4,1.7,11.2
1.557,01/12/2004,1.1,-2.5,6.1
2.754,01/01/2005,0.6,-2.9,5.3
-2.273,01/02/2005,-2.2,-5.8,2.7
-1.097,01/03/2005,3.1,-2.4,10.1
0.389,01/04/2005,10.5,4.2,18.1
1.109,01/05/2005,16.8,10.6,23.6
-0.639,01/06/2005,18.3,11.5,25.5
0.714,01/07/2005,21.6,15.1,28.7
0.427,01/08/2005,20.8,15.4,28.0
1.054,01/09/2005,16.0,11.0,23.5
0.334,01/10/2005,10.6,5.3,17.7
-0.981,01/11/2005,4.0,-0.5,9.0
0.857,01/12/2005,1.0,-2.2,5.2
-1.808,01/01/2006,-4.0,-7.0,0.8
-0.819,01/02/2006,-1.2,-5.5,4.7
0.156,01/03/2006,4.6,-0.5,10.7
1.402,01/04/2006,11.3,5.2,18.7
0.311,01/05/2006,16.0,8.8,23.5
0.275,01/06/2006,20.2,13.0,27.7
1.328,01/07/2006,22.5,14.7,30.1
0.649,01/08/2006,21.5,14.8,29.9
0.994,01/09/2006,16.9,11.1,24.9
1.73,01/10/2006,11.5,6.2,19.7
0.912,01/11/2006,6.3,1.7,12.7
1.973,01/12/2006,1.2,-1.9,5.4
6.631,01/01/2007,3.6,-1.5,7.5
3.524,01/02/2007,2.7,-1.3,9.0
3.405,01/03/2007,7.0,1.4,13.9
0.842,01/04/2007,11.5,3.3,19.4
2.664,01/05/2007,18.6,11.0,26.6
2.755,01/06/2007,23.3,15.0,31.4
3.146,01/07/2007,26.2,15.9,34.7
2.352,01/08/2007,23.3,16.8,31.2
-0.651,01/09/2007,16.0,10.5,24.0
0.357,01/10/2007,11.2,6.2,17.8
-1.947,01/11/2007,3.1,-0.2,7.7
-0.873,01/12/2007,-0.9,-3.3,1.8
1.368,01/01/2008,-3.1,-5.8,0.8
3.012,01/02/2008,2.1,-2.4,8.3
3.146,01/03/2008,7.8,1.8,15.4
1.424,01/04/2008,12.4,7.5,18.5
0.773,01/05/2008,16.1,9.5,23.5
1.556,01/06/2008,21.5,13.7,28.7
0.796,01/07/2008,22.4,14.4,30.3
2.34,01/08/2008,24.1,15.9,32.9
-0.613,01/09/2008,16.0,10.1,23.0
1.7,01/10/2008,11.4,5.9,19.9
0.954,01/11/2008,5.5,1.4,10.8
1.976,01/12/2008,1.9,-1.2,6.0
1.514,01/01/2009,-0.5,-3.9,3.6
1.606,01/02/2009,2.0,-1.2,6.2
1.078,01/03/2009,5.5,0.6,10.5
2.117,01/04/2009,11.4,3.7,19.3
1.356,01/05/2009,17.1,9.0,25.0
1.106,01/06/2009,20.8,12.6,28.7
